Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
660132,__sun_fresh_market_&_deli__,SUN FRESH MARKET & DELI,2021825,Grocery Store,Risk 1 (Lwo),3640 N CENTRAL AVE ,"CCHICAGO,IL,60634",  01/24/2012  ,Canvass,Fail
1445320,mcdonalds,MCDONALD'S,2397974x,Restaurant,risk_2_(medium),23 N WESTERN AVE ,"Chicago,IL,60612",__06.18.2015__,License,Fail
1459365,franklin magnet,Franklin Fine Arts Magnet School,29081,School,Risk 1 (L0w),225 W Evergreen ST ,"Chicago,IL,60610",__05/02/2014__,Canvass,Fail
1770873,kendall college,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Risk 1 (loww),900 N NORTH BRANCH ST ,"Chicago,IL,60642",05/16/2016,Canvass,Fail
1076262,  PAPA T'S ITALIANO  ,,1681036,Mobile Food Dispenser,  Risk 3 (Low)  ,2843 W 63RD ST ,"INACTIVE,IL,60629",04/27/2012,Canvass,Out of Business
1300401,TIPSYCAKE,TIPSYCAKE,2107949,Bakery,Risk 2 (Medium),1944 N DAMEN AVE ,"chicago,IL,60647",11/08/2012,Canvass Re-inspection,Pass
215218,good_earth_market,GOOD EARTH MARKET,2017278,Grocery Store,Risk 2 (Medium),6190 S ARCHER AVE ,"CHCICAGO,IL,60638",02/18/2010,License,Fail
2071348,market select,MARKET SELECT,2523569,Grocery Store,Risk_3_(Low),912 N ASHLAND AVE ,",IL,60622",07/25/2017,License,Pass
233751,alissa ice cream,ALISSA ICE CREAM,2032109,Mobile Food Dispenser,Risk 3 (Low),12355 S KEDVALE AVE ,"ALSIP,IL,60803",05/12/2010,License,Fail
1277643,chicago_academy_for_the_arts,Chicago Academy for the Arts,3200708,School,Risk_3_(Low),1010 W Chicago AVE ,"Chicago,IL,60642",  01/11/2013  ,Complaint,Fail
