Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
2078801,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,Restaurant,Risk 1 (High),8125 S HALSTED ST ,",IL,60620",08/22/2017,Complaint,Fail
2078380,THE GODDESS GOLD COAST,THE GODDESS AND GROCER,2397687,Restaurant,Risk 1 (HIGH),1127 N STATE ST ,"CCHICAGO,IL,60610",08/14/2017,Complaint,Pass w/ Conditions
2015423,HAROLD'S CHICKEN 57 LLC.,HAROLD'S CHICKEN,2363519,Restaurant,Risk 1 (High),6606 W NORTH AVE ,"Chicago,IL,60707",07/31/2017,Complaint,Pass
2071437,CHINA CAFE,CHINA CAFE,2535883,Restaurant,Risk 1 (High),2300-2302 S WENTWORTH AVE BLDG ,",IL,60616",07/26/2017,License,Pass
2071348,MARKET SELECT,MARKET SELECT,2523569,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE ,",IL,60622",07/25/2017,License,Pass
2071351,MARKET SELECT,MARKET SELECT,2523571,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE ,",IL,60622",07/25/2017,License,Pass
2070149,KATANA (刀),KATANA,2528614,Restaurant,Risk 3 (Low),339 N DEARBORN ST ,"CHICAGOCHICAGO,IL,60654",07/20/2017,License,Pass
2070147,KATANA (刀),KATANA,2528612,Restaurant,Risk 3 (Low),339 N DEARBORN ST ,"CHICAGOCHICAGO,IL,60654",07/20/2017,License,Pass
2070140,KATANA (刀),KATANA,2528611,Restaurant,Risk 1 (High),339 N DEARBORN ST ,"CHICAGOCHICAGO,IL,60654",07/20/2017,License,Pass
2064921,CHICAGO PIZZA BOSS,CHICAGO PIZZA BOSS,2240789,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",06/24/2017,Canvass,Pass
2064674,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",06/21/2017,Canvass Re-inspection,Pass
2064655,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",06/21/2017,Canvass Re-inspection,Fail
2064626,"A 87 CAFE AND RESTAURANT,CORP","A 87  CAFE AND RESTAURANT,CORP",2535691,Restaurant,Risk 1 (High),4393 N ELSTON ,",IL,60641",06/20/2017,License Re-inspection,Pass
2064614,MARKET SELECT,MARKET SELECT,2523571,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE ,",IL,60622",06/20/2017,License,Not Ready
2064612,MARKET SELECT,MARKET SELECT,2523569,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE ,",IL,60622",06/20/2017,License,Not Ready
2064565,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 1 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",06/19/2017,Canvass Re-inspection,No Entry
2064471,"A 87 CAFE AND RESTAURANT,CORP","A 87  CAFE AND RESTAURANT,CORP",2535691,Restaurant,Risk 1 (High),4393 N ELSTON ,",IL,60641",06/16/2017,License,Fail
2064263,SUPREME CATERING COMPANY,SUPREME CATERING COMPANY,2501387,Mobile Food Dispenser,Risk 3 (Low),1900 S MAYWOOD DR ,"MAYWOOD,IL,60153",06/14/2017,License Re-inspection,Pass
2060158,CUPCAKES FOR COURAGE,CUPCAKES FOR COURAGE,2263359,Mobile Food Dispenser,Risk 3 (Low),108 W PARK ,"ELMHURST,IL,60126",06/13/2017,License,Pass
2070187,CHINA CAFE,CHINA CAFE,2535883,Restaurant,Risk 1 (High),2300-2302 S WENTWORTH AVE BLDG ,",IL,60616",06/12/2017,License,Not Ready
2060059,DEETER COOKIES,DEETER COOKIES,2522500,Mobile Prepared Food Vendor,Risk 3 (Low),37 SHERWOOD TER ,"LAKE BLUFF,IL,60044",06/12/2017,License,Pass
2060050,LA COCINITA FOOD TRUCK CHICAGO,LA COCINITA FOOD TRUCK CHICAGO,2458565,Mobile Food Preparer,Risk 2 (Medium),1625 CHICAGO AVE ,"EVANSTON,IL,60201",06/10/2017,Canvass,Fail
2059829,SAN FELIPE FRESH MARKET,SAN FELIPE FRESH MARKET,2404664,Grocery Store,Risk 1 (High),3440 W MONTROSE AVE ,"Chicago,IL,60618",06/08/2017,Canvass Re-inspection,Pass
2059706,MOJO SOUTH WACKER,MOJO SOUTH WACKER,2534918,Restaurant,Risk 2 (Medium),200 S WACKER DR ,"312CHICAGO,IL,60606",06/06/2017,License,Pass
2059479,Carson (New),Carson (New),70217,School,Risk 1 (High),2550 W 56th (5600S) ST ,"chicago,IL,60629",06/02/2017,Canvass Re-inspection,Pass
2059412,SAN FELIPE FRESH MARKET,SAN FELIPE FRESH MARKET,2404664,Grocery Store,Risk 1 (High),3440 W MONTROSE AVE ,"Chicago,IL,60618",06/01/2017,Canvass,Fail
