Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
1990124,7 elevn,7-ELEVEN #37622B,2492548,Grocery Store,Risk 2 (Medium),4 W JACKSON BLVD ,",IL,",03/07/2017,License,fal
1990142,   izakaya yume  ,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT ,"SCHAUMBURG,IL,60193",03/07/2017,License,psas
1990130,7-eleven #37622b,7-ELEVEN #37622B,2492551,Grocery Store,Risk 2 (Medium),4 W JACKSON BLVD ,",IL,",03/07/2017,License,Out of service
1990118,Seven-Eleven,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD ,",IL,",03/07/2017,Canvass,Fail
1989593,   three chefs resturant   ,THREE CHEFS RESTURANT,2009471,Restaurant,Risk 1 (High),8125 S HALSTED ST ,",IL,60620",02/23/2017,Complaint Re-inspection,pas
1989559,  cafe 222 llc   ,CAFE 222 LLC,2496208,Restaurant,Risk 1 (High),222 N CANAL ST ,"Chicago,IL,60606",02/23/2017,License,Pass
1989551, cafe 222 llc  ,CAFE 222 LLC,2496207,Restaurant,Risk 1   (High),222 N CANAL ST ,"Chicago,IL,60606",02/23/2017,License,pas
1770904,7-eleven # 37622a,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD ,",IL,",05/17/2016,License,faild
1989214,halsted street deli & bagel,,2358755,Restaurant,Risk 1 (High),133 N WELLS ST ,",IL,",02/16/2017,Canvass,Out of Business
1931400, 7-eleven # 37622a ,7 ELEVEN,2442936x,Grocery Store,Risk 3 (Low),4 W JACKSON BLVD ,",IL,",05/23/2016,License Re-inspection,paas
