Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
1575966,"Payton, Walter (H/S)",WALTER PAYTON COLLEGE PREP,70020,School,Risk 1 (High),1034 N Wells ST,"CHicago,IL,60610",09/23/2015,CANVASS,Pass w/ Conditions
1096351,South Loop Elementary,South Loop Elementary,1745,School,Risk 1 (High),1212 S Plymouth CT,"Chicago,IL,60605",06/06/2012,CANVASS,Pass
1434977,THE ALLERTON HOTEL,THE ALLERTON HOTEL,2313729,Restaurant,Risk 1 (High),701 N Michigan AVE,"Chicago,IL,60611",04/21/2014,LICENSE REINSPECTION,Pass
1286341,MCDONALD'S CORPORATION,MCDONALD'S CORPORATION,1243048,Restaurant,Risk 2 (Medium),23 N WESTERN AVE,"Chicago,IL,60612",10/07/2013,COMPLAINT REINSPECTION,Pass
251137,"DOLLAR TREE STORE, INC.",,1954150,Grocery Store,Risk 3 (Low),5235-5237 N BROARDWAY,",IL,",06/22/2010,LICENSE REINSPECTION,Pass
521323,SUPERMERCADO CARDENAS,SUPERMERCADO CARDENAS,1596877,Grocery Store,Risk 1 (High),3440 W MONTROSE AVE,"Chicago,IL,60618",04/05/2011,COMPLAINT,Pass w/ Conditions
250605,Bradwell School of Excellence,Myra Bradwell Math Science and Technology Academy,22291,School,Risk 1 (High),7736 S Burnham (2800E),"chicago,IL,60649",06/07/2010,CANVASS,Pass
1513072,"Payton, Walter (H/S)",WALTER PAYTON COLLEGE PREP,70020,School,Risk 1 (High),1034 N Wells ST,"CHicago,IL,60610",12/16/2014,CANVASS,Fail
634974,UPTOWN TOBACCO & MINI MART,UPTOWN TOBACCO & MINI MART,2120843,Grocery Store,Risk 3 (Low),2812 N CLARK ST,",IL,",10/17/2011,LICENSE REINSPECTION,Pass
1445319,MCDONALD'S CORPORATION,MCDONALD'S CORPORATION,1243048,Restaurant,Risk 2 (Medium),23 N WESTERN AVE,"Chicago,IL,60612",06/18/2015,CANVASS,Out of Business
