Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
1076265,PAPA T'S ITALIANO,,1681032,RESTAURANT,Risk 3 (Low),2843 W 63RD ST,"INACTIVE,IL,60629",04/27/2012,Canvass,OUT OF BUSINESS
250364,THE POWELL BRANCH,,26292,RESTAURANT,Risk 1 (High),7765 S Coles Ave ( 2500E),"charles a hayes,il,60649",05/28/2010,Canvass,PASS
58237,THE DINING ROOM AT KENDALL NFP,THE DINING ROOM,1963512,,Risk 1 (High),900 N NORTH BRANCH ST,"Chicago,IL,60642",01/07/2010,Canvass,PASS
1290268,Carson (New),Carson (New),70217,RESTAURANT,Risk 1 (High),2550 W 56th (5600S) ST,"chicago,il,60629",01/18/2013,Canvass,PASS
67788,Carson (Old),Carson (Old),22601,RESTAURANT,Risk 1 (High),5516 S Maplewood (2532W) AVE,"chicago,IL,60629",01/07/2010,Canvass,PASS
1591546,FAMILY DOLLAR #3301,FAMILY DOLLAR #3301,1247850,RESTAURANT,Risk 3 (Low),9101 S COMMERCIAL AVE,"chicago,il,60617",12/10/2015,Canvass,PASS
1369223,CUPCAKES FOR COURAGE,CUPCAKES FOR COURAGE,2263359,RESTAURANT,Risk 3 (Low),108 W PARK,"elmhurst,il,60126",09/25/2013,License Re-inspection,PASS
2009720,THE GODDESS GOLD COAST,THE GODDESS AND GROCER,2397687,GROCERY STORE,Risk 1 (High),1127 N STATE ST,"CCHICAGO,IL,60610",04/04/2017,Canvass,PASS
1361371,La Michoacana Natural,La Michoacana Natural,2270685,SCHOOL,Risk 2 (Medium),6149 W Grand AVE,"Chicago,IL,60639",09/27/2013,License,FAIL
1199796,Chicago Academy for the Arts,Chicago Academy for the Arts,3200708,RESTAURANT,Risk 3 (Low),1010 W Chicago AVE,"Chicago,IL,60642",05/07/2015,Canvass,PASS
