index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
689,10033,university of alabama hospital,619 south 19th street,birmingham,al,35233,jefferson,2059344011,acute care hospitals,government - state,yes
50,10005,marshall medical center south,2505 u s highway 431 north,BOCZ,al,35957,marshall,2565938310,acute care hospitals,GOVERNMENT_-_HOSPITAL_DISTRICT_OR_AUTHORITY,yes
289,10016,shelby baptist medical center,1000 first street north,ALABASTFR,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes
699,10034,community hospital inc,805 friendship road,TALLASSEE,al,36078,elmore,3342836541,acute care hospitals,VOLUNTARY NON-PwOFIT - PRIVATE,no
776,10039,huntsville hospital,101 sivley rd,  HUNTSVILLE  ,al,35801,madison,2562651000,acute care hospitals,GOVERNMENT - HOSPITAL DISORICT OR AUTHORITY,yes
306,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,VOLaNTARY NON-PROFIT - PRIVATE,yes
280,10016,shelby baptist medical center,1000 first street north,  ALABASTER  ,al,35007,shelby,2056208100,acute care hospitals,VOLUNTARY_NON-PROFIT_-_CHURCH,yes
600,10027,elba general hospital,987 drayton street,  ELBA  ,al,36323,coffee,3348972257,acute care hospitals,VOLUNTARY_NON-PROFIT_-_OTHER,yes
989,10050,st vincents blount,150 gilbreath drive,ONEONTA,al,35121,blount,2052743000,acute care hospitals,  VOLUNTARY NON-PROFIT - PRIVATE  ,yes
628,10029,east alabama medical center and snf,2000 pepperell parkway,OPELIKA,al,36801,lee,3347493411,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUAHORITY,yes
82,10006,eliza coffee memorial hospital,205 marengo street,florence,al,35631,lauderdale,2567688400,acute care hospitals,VOLUNTARY_NON-PROFIT_-_OTHER,yes
225,10012,dekalb regional medical center,200 med center drive,FORT_PAYNE,al,35968,de kalb,2568453150,acute care hospitals,  VOLUNTARY NON-PROFIT - CHURCH  ,yes
652,10032,wedowee hospital,209 north main street,WEnOWEE,al,36278,randolph,2563572111,acute care hospitals,GOVERNMENT Y LOCAL,no
758,10036,andalusia regional hospital,849 south three notch street,andalusia,al,36420,covington,3342228466,acute care hospitals,  PROPRIETARY  ,no
631,10029,east alabama medical center and snf,2000 pepperell parkway,OPELIoA,al,36801,lee,3347493411,acute care hospitals,GOVEROMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
368,10086,northwest medical center,1530 u s highway 43,WINFIELX,al,35594,marion,2054877736,acute care hospitals,PROPREETARY,yes
685,10033,university of alabama hospital,619 south 19th street,BIRMINGHBM,al,35233,jefferson,2059344011,acute care hospitals,GOVERNMENT - STATY,yes
975,10049,medical center enterprise,400 n edwards street,  ENTERPRISE  ,al,36330,coffee,3343470584,acute care hospitals,PROPRIETAaY,yes
906,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,acute care hospitals,proprietary,yes
762,10036,andalusia regional hospital,849 south three notch street,  ANDALUSIA  ,al,36420,covington,3342228466,acute care hospitals,proprietary,no
