,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
0,12579,,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,banquet ,PROF;.?,"SOUTHERN HOTEL,ST. LOUIS,MO.",BROADSIDE; ILLUS; 5.5 X 8.75;,  ANNUAL  ,WINES LISTED FOR EACH COURSE;,1900-2627,,,1900-03-31,Trustees Of The Missouri Botanical Garden,,,,complete,2.0 pages,22.0 dishes
1,25121,,HOLLAND HOUSE,LUNCHEON,COMMERCIAL.?,,card;6x8.75;,  DAILY;  ,"ENGLISH ON ONE SIDE,FRENCH ON ONE SIDE;",1900-517,,,1900.01.25,Holland House,,Dollars,$,complete,2.0,546.0
2,21960,,[battery park hotel],CHRISTMAS DINNER,COMMERCIAL,"ASHVILLE, NC",booklet; illus; col; 6 x 8;,RELIGIOUS HOLIDAY,PRINTED ON PARCHMENT-LIKE PAPER; RED LION; DRAWING OF HOTEL; TIED WITH TWINE AND SEALING WAX; MOST OF BOOKLET CONSISTS OF INFORMATION AND PRAISE ABOUT THE HOTEL;,1898-432,,,1898-12-25,Battery Park Hotel,,,,complete,16.0 pages,28.0 dishes
3,14523,,[usms],BREAKFAST,GOVT;.?,SS ST PAUL,card;illus;col;4x6.25;,DAILY;, FLAG; ,1901-1304,,,1901-05-15,Usms,,None,,complete,2.0 pages,23.0 dishes
4,29808,,[Southern Pacific],,,,21.5x14cm folded; 21.5x28cm open,,,1946-0037_wotm,,,01-01-1946,Southern Pacific,,Dollars,$,complete,4.0,78.0 dishes
5,23754,,HOLLAND SOCIETY,FOURTH ANNUSL DINNER,PATR;.?,HOTEL BRUNSWICK [NY?],FOLDER; ILLUS; 8.75X12;,[SOC?], DUTCH; TOASTS; WINDMILL AND MILKMAID; SAILINGSHIP AND SEAL; TWO COPIES; ,1889-004,,,1889-01-08,Holland Society,,n/a,,complete,4.0 pages,55.0
6,33905,Spilker's Restaurant and Grill Room,[Spilker's Restaurant and Grill Room],,,,28x17.5cm folded; 28x35cm open,,,1914-0606_wotm,,,1914-06-09,Spilker's Restaurant and Grill Room,,Dollars,$,complete,4.0,383.0 dishes
7,35176,Adams' Restaurant,[Adams' Restaurant],,,,,,Portol᠂anquet,1913-0404_wotm,,,1913.04.25,Adams' Restaurant,,Dolars,$,complete,5.0 pages,416.0 dishes
8,28580,,Amy's,,,,22x9cm folded; 22x36cm open,,,1985-0016_wotm,,,1985-01-01,Amy's,,Dolars,$,complete,3.0 pages,60.0
9,28250,,[S.S. Nieuw Amsterdam],,,,29x21cm folded; 29x42cm open,,,1965-0062_wotm,,,07-07-1965,S.S. Nieuw Amsterdam,,,,complete,4.0 pages,34.0
10,25261,,[ISMALIA TEMPLE],LUNCHEON TENDERED IMPERIAL COUNCIL,POL;,"CATARACT HOUSE,NIAGARA FALLS,NY",BROADSIDE; ILLUS; COL; 4.5 X 6.5;,COMPLIMENTARY/TESTIMONIAL,,1899-476,,,1899-06-16,Ismalia Temple,,n/a,,complete,2.0 pages,20.0 dishes
11,27147,,Seaboard Railway,lunch and dinner,RAILROAD,,7 1/2 x 5 in.,,"Features : ""Low Priced Meal Service.""",Soete 130,,,,Seaboard Railway,,n/a,,complete,1.0,6.0 dishes
12,27163,,western pacific,breakfast,RAILROAD,The Feather River Route,9 x 6 1/2 in. fold. ; ill.,,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,Soete 176,,,1938-04-13,Western Pacific,,Dollars,$,complete,4.0,78.0 dishes
13,33877,Wiehl & Widman,wiehl & widman,,,,43x23cm,,fragile,1914-0578_wotm,,,1914-06-08,Wiehl & Widman,,Doller,$,complete,2.0 pages,227.0 dishes
14,26299,,ASTOR HOUSE,DINNER,COMMERCIAL,NEW YORK,folder; illus; 7 x 10;,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-061,,,1900-01-06,Astor House,,Dollers,$,complete,4.0 pages,479.0 dishes
15,24382,,[?],banqu3t,SOCIAL.?,COPENHAGEN,broadside; 3.75 x 5.75;,?,MENU IN DANISH;,1898-028,,,1898-01-14,?,,unknown,,complete,2.0 pages,13.0
16,22110,,SPRINGFIELD CALEDONIANS,15NTH BURNS ANNIVERSARY,SOCIAL,HOTEL WORTHY,booklet; illus; 4.25 x 6.5;,ANNIVERSARYERSARY,COMPLETE PROGRAM LISTED;COMMITTEE MEMBERS INCLUDED;,1898-057,,,01/25/1898,Springfield Caledonians,,N/A,,complete,8.0 pages,19.0 dishes
