LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
57600.0,Honolulu,HI,96817,444130.0,Corporation,Asian,Male Owned,Non-Veteran,,5.0,04/29/2020,Hawaii National Bank,HI-01
18600.0,HONOLULU,HI,96817,621112.0,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/28/2020,"American Savings Bank, FSB",HI-01
123300.0,KANEOHE,HI,96744,238220.0,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/14/2020,Central Pacific Bank,HI-02
68600.0,KIHEI,HI,96753,238220.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/05/2020,"American Savings Bank, FSB",HI-02
14995.0,Kailua Kona,HI,96740,713940.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1.0,05/14/2020,"Kabbage, Inc.",HI-02
109100.0,KAUNAKAKAI,HI,96748,444190.0,Corporation,White,Male Owned,Non-Veteran,,12.0,04/13/2020,"American Savings Bank, FSB",HI-02
140400.0,WAIMANALO,HI,96795,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/13/2020,"American Savings Bank, FSB",HI-02
6700.0,KAILUA KONA,HI,96740,424940.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2.0,04/10/2020,Central Pacific Bank,HI-02
67455.0,Waimea,HI,96743,531210.0,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/13/2020,Bank of Hawaii,HI-02
20800.0,Honolulu,HI,96815,531210.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,1.0,05/19/2020,Hawaii National Bank,HI-01
8800.0,kalaheo,HI,96746,541430.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,Central Pacific Bank,HI-02
39200.0,Kailua,HI,96734,541214.0,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,3.0,04/29/2020,Hawaii National Bank,HI-02
4100.0,Honolulu,HI,96814,621399.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,05/08/2020,Central Pacific Bank,HI-01
