LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender
57600.0,Honolulu,HI,96817,444130.0,CORPORATION,Asian,Male Owned,Non-Veteran,,5.0,04/29/2020,Hawaii National Bank
18600.0,HONOLULU,HI,96817,621112.0,Corporation,Unanswered,Unanswered,Unanswered,,3.0,04/28/2020,"American Savings Bank, FSB"
123300.0,KANEOHE,Hawaii,96744,238220.0,CORPORATION,Unanswered,Unanswered,Unanswered,,8.0,04/14/2020,Central Pacific Bank
68600.0,KIHEI,Hawaii,,238220.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/05/2020,"American Savings Bank, FSB"
14995.0,Kailua Kona,HI,96740,713940.0,self-employed individuals,Unanswered,Unanswered,Unanswered,,1.0,05/14/2020,"Kabbage, Inc."
109100.0,KAUNAKAKAI,,96748,444190.0,Corporation,White,Male Owned,Non-Veteran,,12.0,04/13/2020,"American Savings Bank, FSB"
140400.0,WAIMANALO,,96795,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/13/2020,"American Savings Bank, FSB"
6700.0,KAILUA KONA,HI,96740,424940.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,2.0,04/10/2020,Central Pacific Bank
67455.0,Waimea,,96743,531210.0,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/13/2020,Bank of Hawaii
20800.0,Honolulu,HI,96815,531210.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,1.0,05/19/2020,Hawaii National Bank
8800.0,kalaheo,HI,96746,541430.0,SELF-EMPLOYED INDIVIDUALS,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,Central Pacific Bank
39200.0,Kailua,,96734,541214.0,LIMITED  LIABILITY COMPANY(LLC),Asian,Male Owned,Non-Veteran,,3.0,04/29/2020,Hawaii National Bank
4100.0,Honolulu,,96814,621399.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,0.0,05/08/2020,Central Pacific Bank
109800.0,HONOLULU,,96821,722515.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,14.0,04/03/2020,"American Savings Bank, FSB"
51750.0,KAILUA,HI,96734,236220.0,Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,Central Pacific Bank
20900.0,Kailua,,96734,812112.0,Corporation,Unanswered,Male Owned,Non-Veteran,,0.0,05/13/2020,Central Pacific Bank
24700.0,HONOLULU,Hawaii,,621210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,04/05/2020,Central Pacific Bank
11000.0,HONOLULU,,96813,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/14/2020,"American Savings Bank, FSB"
128440.0,KAHULUI,Hawaii,,624410.0,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,Y,17.0,04/05/2020,"American Savings Bank, FSB"
16822.0,AIEA,,96701,448310.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6.0,04/27/2020,Bank of Hawaii
22200.0,HONOLULU,Hawaii,96814,611519.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,4.0,04/08/2020,Central Pacific Bank
40000.0,HONOLULUulu,Hawaii,96813,611110.0,corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,Central Pacific Bank
6312.5,HONOLULU,HI,96825,484210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/03/2020,First Hawaiian Bank
35700.0,Honolulu,Hawaii,96816,611610.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0.0,05/14/2020,Central Pacific Bank
20000.0,Honolulu,HI,96816,812990.0,S-Corp,Unanswered,Unanswered,Unanswered,,,05/20/2020,Celtic Bank Corporation
34600.0,HONOLULU,Hawaii,96822,311813.0,LIMITED  LIABILITY COMPANY(LLC),Asian,Female Owned,Non-Veteran,,18.0,04/07/2020,First Hawaiian Bank
127070.0,KAHULUI,Hawaii,96732,424930.0,corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Central Pacific Bank
5000.0,HONOLULU,,96814,423390.0,LLC,Unanswered,Unanswered,Unanswered,,2.0,04/08/2020,Central Pacific Bank
5600.0,HILO,Hawaii,96720,448150.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,1.0,05/08/2020,"American Savings Bank, FSB"
13585.0,Kailua Kona,,96740,711510.0,SOLE PROPRIETORSHIP,Unanswered,Unanswered,Unanswered,,1.0,04/30/2020,WebBank
14400.0,HILO,,96720,611610.0,Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/09/2020,"American Savings Bank, FSB"
52940.0,HONOLULU,HI,96814,621111.0,subchapter s corporation,Unanswered,Unanswered,Unanswered,,7.0,04/16/2020,Bank of Hawaii
1400.0,Wailuku,,96793,711310.0,SP,White,Male Owned,Non-Veteran,,1.0,05/08/2020,Hawaii National Bank
4700.0,honolulu,HI,96813,722310.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,1.0,04/16/2020,"Readycap Lending, LLC"
8125.0,WAILUKU,HI,96793,541990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/13/2020,Bank of Hawaii
71400.0,AIEA,HI,96701,621111.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,5.0,04/05/2020,"American Savings Bank, FSB"
28537.0,HILO,Hawaii,96720,441310.0,limited  liability company(llc),Unanswered,Male Owned,Non-Veteran,,1.0,04/30/2020,First Hawaiian Bank
3700.0,MILILANI,HI,96789,611710.0,Independent Contractors,Unanswered,Unanswered,Unanswered,,1.0,05/06/2020,"American Savings Bank, FSB"
11592.0,HALEIWA,,96712,561520.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,7.0,05/11/2020,Bank of Hawaii
39500.0,PEARL CITY,HI,96782,999990.0,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/28/2020,"American Savings Bank, FSB"
21500.0,Honolulu,Hawaii,96819,424410.0,Corporation,Asian,Male Owned,Non-Veteran,,4.0,05/20/2020,Hawaii National Bank
12347.0,WAIPAHU,,96797,238220.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1.0,07/27/2020,"Kabbage, Inc."
50000.0,KAMUELA,HI,96743,531190.0,Corp,Unanswered,Unanswered,Unanswered,,,04/14/2020,Central Pacific Bank
20832.5,Paia,HI,96779,531210.0,INDEPENDENT CONTRACTORS,Unanswered,Unanswered,Unanswered,,1.0,05/20/2020,First Hawaiian Bank
4400.0,Honolulu,HI,96814,541910.0,CORPORATION,Asian,Male Owned,Non-Veteran,,3.0,05/11/2020,Hawaii National Bank
52000.0,WAILUKU,,96793,621111.0,limited  liability company(llc),White,Male Owned,Veteran,,4.0,04/10/2020,Central Pacific Bank
21067.0,KAHULUI,Hawaii,96732,811111.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/08/2020,Bank of Hawaii
6400.0,KAILUA KONA,HI,96740,561520.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,04/10/2020,Central Pacific Bank
8985.0,Kapolei,Hawaii,96707,339920.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/01/2020,First Hawaiian Bank
138200.0,HONOLULU,,96816,541330.0,Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/07/2020,First Hawaiian Bank
54900.0,KILAUEA,HI,96754,532490.0,corporation,White,Male Owned,Non-Veteran,,9.0,04/15/2020,First Hawaiian Bank
57355.0,HONOLULU,,96814,446120.0,CORPORATION,Unanswered,Unanswered,Unanswered,,8.0,04/28/2020,Central Pacific Bank
53400.0,HONOLULU,Hawaii,96826,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18.0,04/11/2020,Central Pacific Bank
15900.0,HONOLULU,Hawaii,96815,448110.0,corporation,Unanswered,Unanswered,Unanswered,,2.0,05/01/2020,"American Savings Bank, FSB"
15000.0,Kapaa,HI,96746,611620.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14.0,04/27/2020,Kaua'i Government Employees' FCU
39334.0,Pearl City,HI,96782,238330.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,0.0,04/28/2020,Central Pacific Bank
112672.0,HANA,Hawaii,96713,445110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14.0,05/18/2020,Bank of Hawaii
7400.0,AIEA,,96701,423990.0,SUBCHAPTER S CORPORATION,Unanswered,Unanswered,Unanswered,,1.0,05/01/2020,First Hawaiian Bank
