,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender
0,57600.0,Honolulu,HI,96817.0,444130.0,CORPORATION,Asian,Male Owned,Non-Veteran,,5.0,04/29/2020,Hawaii National Bank
1,18600.0,HONOLULU,HI,96817.0,621112.0,Corporation,Unanswered,Unanswered,Unanswered,,3.0,2020-04-28,"American Savings Bank, FSB"
2,123300.0,KANEOHE,Hawaii,96744.0,238220.0,CORPORATION,Unanswered,Unanswered,Unanswered,,8.0,2020-04-14,Central Pacific Bank
3,68600.0,KIHEI,Hawaii,,238220.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/05/2020,"American Savings Bank, FSB"
4,14995.0,Kailua Kona,HI,96740.0,713940.0,self-employed individuals,Unanswered,Unanswered,Unanswered,,1.0,2020-05-14,"Kabbage, Inc."
5,109100.0,KAUNAKAKAI,,96748.0,444190.0,Corporation,White,Male Owned,Non-Veteran,,12.0,04/13/2020,"American Savings Bank, FSB"
6,140400.0,WAIMANALO,,96795.0,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13.0,2020-04-13,"American Savings Bank, FSB"
7,6700.0,KAILUA KONA,HI,96740.0,424940.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,2.0,2020-04-10,Central Pacific Bank
8,67455.0,Waimea,,96743.0,531210.0,Corporation,Unanswered,Unanswered,Unanswered,,5.0,04/13/2020,Bank of Hawaii
9,20800.0,Honolulu,HI,96815.0,531210.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,1.0,05/19/2020,Hawaii National Bank
10,8800.0,kalaheo,HI,96746.0,541430.0,SELF-EMPLOYED INDIVIDUALS,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,Central Pacific Bank
11,39200.0,Kailua,,96734.0,541214.0,LIMITED  LIABILITY COMPANY(LLC),Asian,Male Owned,Non-Veteran,,3.0,2020-04-29,Hawaii National Bank
12,4100.0,Honolulu,,96814.0,621399.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,0.0,2020-05-08,Central Pacific Bank
13,109800.0,HONOLULU,,96821.0,722515.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,14.0,04/03/2020,"American Savings Bank, FSB"
14,51750.0,KAILUA,HI,96734.0,236220.0,Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,Central Pacific Bank
15,20900.0,Kailua,,96734.0,812112.0,Corporation,Unanswered,Male Owned,Non-Veteran,,0.0,05/13/2020,Central Pacific Bank
16,24700.0,HONOLULU,Hawaii,,621210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,2020-04-05,Central Pacific Bank
17,11000.0,HONOLULU,,96813.0,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,2020-05-14,"American Savings Bank, FSB"
18,128440.0,KAHULUI,Hawaii,,624410.0,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,Y,17.0,2020-04-05,"American Savings Bank, FSB"
19,16822.0,AIEA,,96701.0,448310.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6.0,2020-04-27,Bank of Hawaii
20,22200.0,HONOLULU,Hawaii,96814.0,611519.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,4.0,2020-04-08,Central Pacific Bank
21,40000.0,HONOLULUulu,Hawaii,96813.0,611110.0,corporation,Unanswered,Unanswered,Unanswered,,,2020-04-15,Central Pacific Bank
22,6312.5,HONOLULU,HI,96825.0,484210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,2020-05-03,First Hawaiian Bank
23,35700.0,Honolulu,Hawaii,96816.0,611610.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0.0,05/14/2020,Central Pacific Bank
24,20000.0,Honolulu,HI,96816.0,812990.0,S-Corp,Unanswered,Unanswered,Unanswered,,,2020-05-20,Celtic Bank Corporation
25,34600.0,HONOLULU,Hawaii,96822.0,311813.0,LIMITED  LIABILITY COMPANY(LLC),Asian,Female Owned,Non-Veteran,,18.0,2020-04-07,First Hawaiian Bank
26,127070.0,KAHULUI,Hawaii,96732.0,424930.0,corporation,Unanswered,Unanswered,Unanswered,,,2020-04-12,Central Pacific Bank
27,5000.0,HONOLULU,,96814.0,423390.0,LLC,Unanswered,Unanswered,Unanswered,,2.0,04/08/2020,Central Pacific Bank
28,5600.0,HILO,Hawaii,96720.0,448150.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,1.0,2020-05-08,"American Savings Bank, FSB"
29,13585.0,Kailua Kona,,96740.0,711510.0,SOLE PROPRIETORSHIP,Unanswered,Unanswered,Unanswered,,1.0,04/30/2020,WebBank
30,14400.0,HILO,,96720.0,611610.0,Corporation,Unanswered,Unanswered,Unanswered,,12.0,2020-04-09,"American Savings Bank, FSB"
