Index,Original,Modified
1,04/28/2020,2020-04-28
2,04/14/2020,2020-04-14
4,05/14/2020,2020-05-14
6,04/13/2020,2020-04-13
7,04/10/2020,2020-04-10
11,04/29/2020,2020-04-29
12,05/08/2020,2020-05-08
16,04/05/2020,2020-04-05
17,05/14/2020,2020-05-14
18,04/05/2020,2020-04-05
19,04/27/2020,2020-04-27
20,04/08/2020,2020-04-08
21,04/15/2020,2020-04-15
22,05/03/2020,2020-05-03
24,05/20/2020,2020-05-20
25,04/07/2020,2020-04-07
26,04/12/2020,2020-04-12
28,05/08/2020,2020-05-08
30,04/09/2020,2020-04-09
31,04/16/2020,2020-04-16
35,04/05/2020,2020-04-05
36,04/30/2020,2020-04-30
37,05/06/2020,2020-05-06
38,05/11/2020,2020-05-11
39,04/28/2020,2020-04-28
41,07/27/2020,2020-07-27
42,04/14/2020,2020-04-14
44,05/11/2020,2020-05-11
45,04/10/2020,2020-04-10
48,05/01/2020,2020-05-01
50,04/15/2020,2020-04-15
51,04/28/2020,2020-04-28
52,04/11/2020,2020-04-11
53,05/01/2020,2020-05-01
54,04/27/2020,2020-04-27
56,05/18/2020,2020-05-18
58,05/07/2020,2020-05-07
60,04/15/2020,2020-04-15
63,05/04/2020,2020-05-04
64,04/15/2020,2020-04-15
65,04/30/2020,2020-04-30
66,04/06/2020,2020-04-06
67,04/15/2020,2020-04-15
68,04/28/2020,2020-04-28
69,05/21/2020,2020-05-21
70,04/28/2020,2020-04-28
71,05/16/2020,2020-05-16
75,05/01/2020,2020-05-01
76,04/29/2020,2020-04-29
80,04/29/2020,2020-04-29
81,04/15/2020,2020-04-15
82,05/14/2020,2020-05-14
83,04/27/2020,2020-04-27
87,04/10/2020,2020-04-10
90,04/29/2020,2020-04-29
92,05/15/2020,2020-05-15
95,04/30/2020,2020-04-30
96,04/10/2020,2020-04-10
99,05/09/2020,2020-05-09
100,05/12/2020,2020-05-12
103,05/01/2020,2020-05-01
106,04/14/2020,2020-04-14
107,05/14/2020,2020-05-14
109,05/02/2020,2020-05-02
110,04/29/2020,2020-04-29
111,05/14/2020,2020-05-14
114,04/07/2020,2020-04-07
116,05/17/2020,2020-05-17
119,04/11/2020,2020-04-11
120,04/30/2020,2020-04-30
121,08/05/2020,2020-08-05
125,05/15/2020,2020-05-15
127,05/07/2020,2020-05-07
128,04/29/2020,2020-04-29
129,04/12/2020,2020-04-12
133,06/18/2020,2020-06-18
134,04/09/2020,2020-04-09
137,04/10/2020,2020-04-10
139,04/10/2020,2020-04-10
140,05/04/2020,2020-05-04
142,04/30/2020,2020-04-30
143,04/15/2020,2020-04-15
144,06/26/2020,2020-06-26
145,05/26/2020,2020-05-26
